,timestamp,message type,message
913,10409,AMS_Heartbeat,"['runtime: 2327 ', 'voltage: 3271 ', 'HVAn: True, HVAp: False, HVBn: True, HVABp: False, precharge: True, init: True']"
914,10433,SHDN_Heartbeat,"[1, '0b0']"
915,10451,PDM_Heartbeat,0b11100111011101110111111111011011
916,10458,SHDN_Heartbeat,"[1, '0b1']"
917,10484,AMS_Heartbeat,"['runtime: 2327 ', 'voltage: 3271 ', 'HVAn: True, HVAp: False, HVBn: True, HVABp: False, precharge: True, init: True']"
918,10502,PDM_Heartbeat,0b11100111011101110111111111011011
919,10508,SHDN_Heartbeat,"[1, '0b0']"
920,10533,SHDN_Heartbeat,"[1, '0b1']"
921,10551,PDM_Heartbeat,0b11100111011101110111111111010000
922,10559,AMS_Heartbeat,"['runtime: 2327 ', 'voltage: 3271 ', 'HVAn: True, HVAp: False, HVBn: True, HVABp: False, precharge: True, init: True']"
923,10583,SHDN_Heartbeat,"[1, '0b0']"
924,10585,Sendyne,"[0, '0x0', '0x20', ' ', 'Current', ' ', 0.042967, ' ', [32, 0, 0, 167, 215]]"
925,10586,Sendyne,"[1, '0x0', '0x20', ' ', 'Current', ' ', 0.042967, ' ', [32, 0, 0, 167, 215]]"
926,10602,PDM_Heartbeat,0b11100111011101110111111111011011
927,10607,SHDN_Heartbeat,"[1, '0b1']"
928,10634,AMS_Heartbeat,"['runtime: 2327 ', 'voltage: 3271 ', 'HVAn: True, HVAp: False, HVBn: True, HVABp: False, precharge: True, init: True']"
929,10652,PDM_Heartbeat,0b11100111011101110111111111011011
930,10658,SHDN_Heartbeat,"[1, '0b0']"
931,10682,SHDN_Heartbeat,"[1, '0b1']"
932,10698,BMS_TransmitTemperature,"['BMSID: ', 0, ' MSGID: ', 0, ' TEMPS: ', '23, 24, 24, 24, 22']"
933,10698,BMS_TransmitTemperature,"['BMSID: ', 0, ' MSGID: ', 1, ' TEMPS: ', '24, 22, 24, 24, 24']"
934,10702,PDM_Heartbeat,0b11100111011101110111111111011011
935,10712,AMS_Heartbeat,"['runtime: 2327 ', 'voltage: 3271 ', 'HVAn: True, HVAp: False, HVBn: True, HVABp: False, precharge: True, init: True']"
936,10734,SHDN_Heartbeat,"[1, '0b0']"
937,10752,PDM_Heartbeat,0b11100111011101110111111111011011
938,10757,SHDN_Heartbeat,"[1, '0b1']"
939,10758,Sendyne,"[1, '0x0', '0x60', ' ', 'Voltage 1', ' ', 4232.507219, ' ', [96, 252, 70, 239, 83]]"
940,10758,BMS_TransmitVoltage,"['ID: ', 0, ' ', 'MSG_ID: ', 0, ' VOLT: ', '3318, 3329, 3329, 3329']"
941,10759,BMS_TransmitTemperature,"['BMSID: ', 2, ' MSGID: ', 0, ' TEMPS: ', '23, 23, 24, 23, 23']"
942,10759,BMS_TransmitVoltage,"['ID: ', 0, ' ', 'MSG_ID: ', 1, ' VOLT: ', '3328, 3326, 3329, 3329']"
943,10759,BMS_TransmitVoltage,"['ID: ', 2, ' ', 'MSG_ID: ', 0, ' VOLT: ', '3319, 3332, 3333, 3333']"
944,10759,BMS_TransmitVoltage,"['ID: ', 0, ' ', 'MSG_ID: ', 2, ' VOLT: ', '3328, 3317, 0, 0']"
945,10760,BMS_TransmitVoltage,"['ID: ', 2, ' ', 'MSG_ID: ', 1, ' VOLT: ', '3332, 3320, 3332, 3332']"
946,10760,BMS_TransmitVoltage,"['ID: ', 2, ' ', 'MSG_ID: ', 2, ' VOLT: ', '3332, 3313, 0, 0']"
947,10760,BMS_TransmitTemperature,"['BMSID: ', 1, ' MSGID: ', 0, ' TEMPS: ', '22, 24, 24, 24, 23']"
948,10761,BMS_TransmitTemperature,"['BMSID: ', 1, ' MSGID: ', 1, ' TEMPS: ', '24, 22, 26, 24, 24']"
949,10761,BMS_TransmitTemperature,"['BMSID: ', 2, ' MSGID: ', 1, ' TEMPS: ', '24, 22, 23, 24, 25']"
950,10761,BMS_TransmitTemperature,"['BMSID: ', 3, ' MSGID: ', 1, ' TEMPS: ', '24, 22, 23, 24, 24']"
951,10761,BMS_TransmitVoltage,"['ID: ', 1, ' ', 'MSG_ID: ', 0, ' VOLT: ', '3323, 3336, 3335, 3335']"
952,10762,BMS_TransmitVoltage,"['ID: ', 3, ' ', 'MSG_ID: ', 0, ' VOLT: ', '3316, 3329, 3328, 3329']"
953,10762,BMS_TransmitVoltage,"['ID: ', 1, ' ', 'MSG_ID: ', 1, ' VOLT: ', '3331, 3319, 3331, 3330']"
954,10762,BMS_TransmitVoltage,"['ID: ', 1, ' ', 'MSG_ID: ', 2, ' VOLT: ', '3329, 3314, 0, 0']"
955,10762,BMS_TransmitVoltage,"['ID: ', 3, ' ', 'MSG_ID: ', 1, ' VOLT: ', '3327, 3318, 3331, 3329']"
956,10763,BMS_TransmitVoltage,"['ID: ', 3, ' ', 'MSG_ID: ', 2, ' VOLT: ', '3329, 3313, 0, 0']"
957,10763,Sendyne,"[0, '0x0', '0x60', ' ', 'Voltage 1', ' ', 4232.507219, ' ', [96, 252, 70, 239, 83]]"
958,10763,BMS_TransmitTemperature,"['BMSID: ', 3, ' MSGID: ', 0, ' TEMPS: ', '22, 24, 24, 24, 22']"
959,10784,AMS_Heartbeat,"['runtime: 2327 ', 'voltage: 3207 ', 'HVAn: True, HVAp: False, HVBn: True, HVABp: False, precharge: True, init: True']"
960,10786,Sendyne,"[0, '0x0', '0x40', ' ', 'Coulomb Count (Low)', ' ', 746130, ' ', [64, 0, 11, 98, 146]]"
961,10787,Sendyne,"[0, '0x0', '0x41', ' ', 'Coulomb Count (High)', ' ', 0, ' ', [65, 0, 0, 0, 0]]"
962,10802,PDM_Heartbeat,0b11100111011101110111111111011011
963,10808,SHDN_Heartbeat,"[1, '0b0']"
964,10831,SHDN_Heartbeat,"[1, '0b1']"
965,10852,PDM_Heartbeat,0b11100111011101110111111111011011
966,10860,AMS_Heartbeat,"['runtime: 2327 ', 'voltage: 3207 ', 'HVAn: True, HVAp: False, HVBn: True, HVABp: False, precharge: True, init: True']"
967,10884,SHDN_Heartbeat,"[1, '0b0']"
968,10902,PDM_Heartbeat,0b11100111011101110111111111011011
969,10906,SHDN_Heartbeat,"[1, '0b1']"
970,10935,AMS_Heartbeat,"['runtime: 2327 ', 'voltage: 3207 ', 'HVAn: True, HVAp: False, HVBn: True, HVABp: False, precharge: True, init: True']"
971,10952,PDM_Heartbeat,0b11100111011101110111111111011011
972,10958,SHDN_Heartbeat,"[1, '0b0']"
973,10981,SHDN_Heartbeat,"[1, '0b1']"
974,10986,Sendyne,"[0, '0x0', '0x20', ' ', 'Current', ' ', 0.08214, ' ', [32, 0, 1, 64, 220]]"
975,10987,Sendyne,"[1, '0x0', '0x20', ' ', 'Current', ' ', 0.08214, ' ', [32, 0, 1, 64, 220]]"
976,11003,PDM_Heartbeat,0b11100111011101110111111111011011
977,11010,AMS_Heartbeat,"['runtime: 2327 ', 'voltage: 3207 ', 'HVAn: True, HVAp: False, HVBn: True, HVABp: False, precharge: True, init: True']"
978,11033,SHDN_Heartbeat,"[1, '0b0']"
979,11052,PDM_Heartbeat,0b11100111011101110111111111011011
980,11055,SHDN_Heartbeat,"[1, '0b1']"
981,11085,AMS_Heartbeat,"['runtime: 2327 ', 'voltage: 3207 ', 'HVAn: True, HVAp: False, HVBn: True, HVABp: False, precharge: True, init: True']"
982,11103,PDM_Heartbeat,0b11100111011101110111111111011011
983,11108,SHDN_Heartbeat,"[1, '0b0']"
984,11130,SHDN_Heartbeat,"[1, '0b1']"
985,11152,PDM_Heartbeat,0b11100111011101110111111111011011
986,11160,AMS_Heartbeat,"['runtime: 2327 ', 'voltage: 3207 ', 'HVAn: True, HVAp: False, HVBn: True, HVABp: False, precharge: True, init: True']"
987,11183,SHDN_Heartbeat,"[1, '0b0']"
