[10799]: [0x1058c010, [b'\x00\x00\x00\x00\x07\x00']]
[10948]: [0x8184010, [b'\xff']]
[10948]: [0x8184010, [b'\x01']]
[10997]: [0x1058c010, [b'\x00\x00\x00\x00\x07\x00']]
[11031]: [0x8184010, [b'\x01']]
[11031]: [0x8184010, [b'\xff']]
[11084]: [0x8184010, [b'\x01']]
[11084]: [0x8184010, [b'\xff']]
[11129]: [0x1058c010, [b'\x00\x00\x00\x00\x07\x00']]
[11157]: [0x8184010, [b'\x01']]
[11157]: [0x8184010, [b'\xff']]
[11247]: [0x1058c010, [b'\x00\x00\x00\x00\x07\x00']]
[11247]: [0x8184010, [b'\x01']]
[11247]: [0x8184010, [b'\xff']]
[11312]: [0x8184010, [b'\x01']]
[11312]: [0x8184010, [b'\xff']]
[11358]: [0x1058c010, [b'\x00\x00\x00\x00\x07\x00']]
[11413]: [0x8184010, [b'\x01']]
[11413]: [0x8184010, [b'\xff']]
[11446]: [0x1058c010, [b'\x00\x00\x00\x00\x07\x00']]
[11482]: [0x1058c010, [b'\x00\x00\x00\x00\x07\x00']]
[11482]: [0x8184010, [b'\x01']]
[11482]: [0x8184010, [b'\xff']]
[11531]: [0x8184010, [b'\x01']]
[11531]: [0x8184010, [b'\xff']]
[11572]: [0x1058c010, [b'\x00\x00\x00\x00\t\x00']]
[11615]: [0x8184010, [b'\x01']]
[11615]: [0x8184010, [b'\xff']]
[11651]: [0x1058c010, [b'\x00\x00\x00\x00\t\x00']]
[11689]: [0x8184010, [b'\x01']]
[11689]: [0x8184010, [b'\xff']]
[11766]: [0x1058c010, [b'\x00\x00\x00\x00\x07\x00']]
[11766]: [0x8184010, [b'\x01']]
[11766]: [0x8184010, [b'\xff']]
[11922]: [0x8184010, [b'\x01']]
[11922]: [0x8184010, [b'\xff']]
[11983]: [0x1058c010, [b'\x00\x00\x00\x00\x07\x00']]
[11983]: [0x8184010, [b'\x01']]
[11983]: [0x8184010, [b'\xff']]
[12070]: [0x8184010, [b'\x01']]
[12070]: [0x8184010, [b'\xff']]
[12101]: [0x1058c010, [b'\x00\x00\x00\x00\x07\x00']]
[12140]: [0x8184010, [b'\x01']]
[12140]: [0x8184010, [b'\xff']]
[12200]: [0x1058c010, [b'\x00\x00\x00\x00\x07\x00']]
[12251]: [0x8184010, [b'\x01']]
[12251]: [0x8184010, [b'\xff']]
[12251]: [0x1058c010, [b'\x00\x00\x00\x00\x07\x00']]
[12295]: [0x8184010, [b'\x01']]
[12295]: [0x8184010, [b'\xff']]
[12320]: [0x1058c010, [b'\x00\x00\x00\x00\x00\x00']]
[12358]: [0x8184010, [b'\x01']]
[12358]: [0x8184010, [b'\xff']]
[12415]: [0x1058c010, [b'\x00\x00\x00\x00\x00\x00']]
[12460]: [0x8184010, [b'\x01']]
[12460]: [0x8184010, [b'\xff']]
[12510]: [0x8184010, [b'\x01']]
[12510]: [0x8184010, [b'\xff']]
[12510]: [0x1058c010, [b'\x00\x00\x00\x00\x00\x00']]
[12534]: [0x1058c010, [b'\x00\x00\x00\x00\x00\x00']]
[12581]: [0x8184010, [b'\x01']]
[12581]: [0x8184010, [b'\xff']]
[12660]: [0x1058c010, [b'\x00\x00\x00\x00\x00\x00']]
[12758]: [0x8184010, [b'\x01']]
[12758]: [0x1058c010, [b'\x00\x00\x00\x00\x00\x00']]
[12758]: [0x8184010, [b'\xff']]
[18781]: [0x8184010, [b'\x01']]
[18781]: [0x8184010, [b'\xff']]
[18811]: [0x8184010, [b'\x01']]
[18811]: [0x8184010, [b'\xff']]
[18811]: [0x8184010, [b'\x01']]
[18811]: [0x8184010, [b'\xff']]
[18811]: [0x8184010, [b'\x01']]
[18811]: [0x1058c010, [b'\x00\x00\x00\x00\x00\x00']]
[18811]: [0x8184010, [b'\xff']]
[18811]: [0x8184010, [b'\x01']]
[18811]: [0x8184010, [b'\xff']]
[18811]: [0x1058c010, [b'\x00\x00\x00\x00\x00\x00']]
[18811]: [0x8184010, [b'\x01']]
[18811]: [0x8184010, [b'\xff']]
[18811]: [0x8184010, [b'\x01']]
[18811]: [0x8184010, [b'\xff']]
[18811]: [0x8184010, [b'\x01']]
[18811]: [0x8184010, [b'\xff']]
[18811]: [0x1058c010, [b'\x00\x00\x00\x00\x00\x00']]
[18811]: [0x8184010, [b'\x01']]
[18811]: [0x8184010, [b'\xff']]
[18811]: [0x8184010, [b'\x01']]
[18811]: [0x1058c010, [b'\x00\x00\x00\x00\x00\x00']]
[18811]: [0x8184010, [b'\xff']]
[18811]: [0x8184010, [b'\x01']]
[18811]: [0x8184010, [b'\xff']]
[18811]: [0x8184010, [b'\x01']]
[18811]: [0x8184010, [b'\xff']]
[18811]: [0x8184010, [b'\x01']]
[18811]: [0x1058c010, [b'\x00\x00\x00\x00\x00\x00']]
[18811]: [0x8184010, [b'\xff']]
[18811]: [0x8184010, [b'\x01']]
[18811]: [0x8184010, [b'\xff']]
[18811]: [0x8184010, [b'\x01']]
[18811]: [0x1058c010, [b'\x00\x00\x00\x00\x00\x00']]
[18811]: [0x8184010, [b'\xff']]
[18811]: [0x8184010, [b'\x01']]
[18811]: [0x8184010, [b'\xff']]
[18811]: [0x1058c010, [b'\x00\x00\x00\x00\x00\x00']]
[18811]: [0x8184010, [b'\x01']]
[18811]: [0x8184010, [b'\xff']]
[18811]: [0x8184010, [b'\x01']]
[18811]: [0x8184010, [b'\xff']]
[18811]: [0x8184010, [b'\x01']]
[18811]: [0x8184010, [b'\xff']]
[18811]: [0x1058c010, [b'\x00\x00\x00\x00\x02\x00']]
[18811]: [0x8184010, [b'\x01']]
[18811]: [0x8184010, [b'\xff']]
[18811]: [0x8184010, [b'\x01']]
[18811]: [0x1058c010, [b'\x00\x00\x00\x00\x02\x00']]
[18811]: [0x8184010, [b'\xff']]
[18864]: [0x8184010, [b'\x01']]
[18910]: [0x8184010, [b'\xff']]
[18965]: [0x8184010, [b'\x01']]
[19014]: [0x8184010, [b'\x01']]
[19056]: [0x8184010, [b'\xff']]
[19133]: [0x8184010, [b'\x01']]
[19193]: [0x8184010, [b'\xff']]
[19250]: [0x8184010, [b'\x01']]
[19311]: [0x8184010, [b'\x01']]
[19335]: [0x8184010, [b'\xff']]
[19379]: [0x8184010, [b'\x01']]
[19489]: [0x1058c010, [b'\x00\x00\x00\x00\t\x00']]
[19489]: [0x8184010, [b'\x01']]
[19557]: [0x8184010, [b'\x01']]
[19619]: [0x8184010, [b'\x01']]
[19762]: [0x8184010, [b'\xff']]
[19793]: [0x8184010, [b'\xff']]
[19822]: [0x8184010, [b'\x01']]
[19863]: [0x8184010, [b'\xff']]
[19896]: [0x8184010, [b'\x01']]
[19965]: [0x8184010, [b'\xff']]
[20009]: [0x8184010, [b'\xff']]
[20045]: [0x8184010, [b'\x01']]
[20099]: [0x8184010, [b'\xff']]
[20126]: [0x8184010, [b'\x01']]
[20161]: [0x8184010, [b'\xff']]
[20193]: [0x8184010, [b'\x01']]
[20236]: [0x8184010, [b'\xff']]
[20281]: [0x1058c010, [b'\x00\x00\x00\x00\x02\x00']]
[20281]: [0x8184010, [b'\x01']]
[20328]: [0x8184010, [b'\xff']]
[20396]: [0x8184010, [b'\xff']]
[20434]: [0x8184010, [b'\x01']]
[20498]: [0x8184010, [b'\xff']]
[20566]: [0x8184010, [b'\xff']]
[20616]: [0x1058c010, [b'\x00\x00\x00\x00\x0b\x00']]
[20668]: [0x8184010, [b'\x01']]
[20744]: [0x8184010, [b'\x01']]
[20804]: [0x8184010, [b'\x01']]
[20882]: [0x8184010, [b'\xff']]
[20939]: [0x8184010, [b'\xff']]
[20965]: [0x1058c010, [b'\x00\x00\x00\x00\x04\x00']]
[20995]: [0x8184010, [b'\xff']]
[21062]: [0x8184010, [b'\xff']]
[21137]: [0x8184010, [b'\x01']]
[21137]: [0x1058c010, [b'\x00\x00\x00\x00\x02\x00']]
[21137]: [0x8184010, [b'\xff']]
[21156]: [0x8184010, [b'\x01']]
[21213]: [0x8184010, [b'\xff']]
[21259]: [0x8184010, [b'\x01']]
[21313]: [0x8184010, [b'\xff']]
[21419]: [0x8184010, [b'\xff']]
[21460]: [0x1058c010, [b'\x00\x00\x00\x00\x00\x00']]
[21460]: [0x8184010, [b'\xff']]
[21489]: [0x8184010, [b'\x01']]
[21521]: [0x8184010, [b'\xff']]
[21561]: [0x8184010, [b'\x01']]
[21600]: [0x8184010, [b'\xff']]
[21742]: [0x1058c010, [b'\x00\x00\x00\x00\x02\x00']]
[21791]: [0x8184010, [b'\xff']]
[21791]: [0x8184010, [b'\x01']]
[21791]: [0x8184010, [b'\xff']]
[21791]: [0x8184010, [b'\x01']]
[21815]: [0x8184010, [b'\xff']]
[21842]: [0x8184010, [b'\x01']]
[21885]: [0x8184010, [b'\xff']]
[21933]: [0x8184010, [b'\x01']]
[21998]: [0x8184010, [b'\xff']]
[22058]: [0x8184010, [b'\xff']]
[22114]: [0x8184010, [b'\xff']]
[22151]: [0x8184010, [b'\x01']]
[22151]: [0x1058c010, [b'\x00\x00\x00\x00\x04\x00']]
[22206]: [0x8184010, [b'\xff']]
[22263]: [0x1058c010, [b'\x00\x00\x00\x00\x04\x00']]
[22263]: [0x8184010, [b'\xff']]
[22337]: [0x8184010, [b'\xff']]
[22396]: [0x8184010, [b'\x01']]
[22424]: [0x8184010, [b'\xff']]
[22476]: [0x1058c010, [b'\x00\x00\x00\x00\x04\x00']]
[22528]: [0x8184010, [b'\x01']]
[22581]: [0x8184010, [b'\xff']]
[22712]: [0x8184010, [b'\x01']]
[22741]: [0x1058c010, [b'\x00\x00\x00\x00\x04\x00']]
